0,
1,
2,Basal cells
3,Proliferating cells
4,Goblet/Club cells
5,Proliferating cells
6,SMG-basal
7,SMG-basal
8,KRT8+ differentiating cells
9,
10,
11,Ciliated cells
12,Goblet/Club cells
13,Basal cells
14,
15,Ciliated cells
16,KRT8+ differentiating cells
17,Basal cells
18,Goblet/Club cells
19,KRT8+ differentiating cells
20,Goblet/Club cells
21,Goblet/Club cells
22,SMG-secretory
23,Basal cells
24,
25,Ionocytes/Neuroendocrine cells
26,Ionocytes/Neuroendocrine cells
